id,school,date,gamenum,location,opponent,outcome
918,Tulane,09/20/2014,4,@,Duke,L
919,Utah,09/20/2014,3,@,Michigan,W
920,Utah State,09/20/2014,4,@,Arkansas State,L
921,Vanderbilt,09/20/2014,4,,South Carolina,L
922,Virginia,09/20/2014,4,@,Brigham Young,L
923,Virginia Tech,09/20/2014,4,,Georgia Tech,L
924,Wake Forest,09/20/2014,4,,Army,W
925,Washington,09/20/2014,4,,Georgia State,W
926,Washington State,09/20/2014,4,,Oregon,L
927,West Virginia,09/20/2014,4,,Oklahoma,L
928,Western Michigan,09/20/2014,3,,Murray State,W
929,Wisconsin,09/20/2014,3,,Bowling Green State,W
930,Wyoming,09/20/2014,4,,Florida Atlantic,W
931,Connecticut,09/19/2014,4,@,South Florida,L
932,South Florida,09/19/2014,4,,Connecticut,W
933,Auburn,09/18/2014,3,@,Kansas State,W
934,Kansas State,09/18/2014,3,,Auburn,L
935,Air Force,09/13/2014,3,@,Georgia State,W
936,Alabama,09/13/2014,3,,Southern Mississippi,W
937,Alabama-Birmingham,09/13/2014,3,,Alabama A&M,W
938,Arizona,09/13/2014,3,,Nevada,W
939,Arizona State,09/13/2014,3,@,Colorado,W
940,Arkansas,09/13/2014,3,@,Texas Tech,W
941,Arkansas State,09/13/2014,3,@,Miami (FL),L
942,Army,09/13/2014,2,@,Stanford,L
943,Ball State,09/13/2014,3,,Indiana State,L
944,Boise State,09/13/2014,3,@,Connecticut,W
945,Boston College,09/13/2014,3,,Southern California,W
946,Bowling Green State,09/13/2014,3,,Indiana,W
947,Central Florida,09/13/2014,2,@,Missouri,L
948,Central Michigan,09/13/2014,3,,Syracuse,L
949,Colorado,09/13/2014,3,,Arizona State,L
950,Colorado State,09/13/2014,3,,California-Davis,W
951,Connecticut,09/13/2014,3,,Boise State,L
952,Duke,09/13/2014,3,,Kansas,W
953,East Carolina,09/13/2014,3,@,Virginia Tech,W
954,Eastern Michigan,09/13/2014,3,@,Old Dominion,L
955,Florida,09/13/2014,3,,Kentucky,W
956,Florida Atlantic,09/13/2014,3,,Tulsa,W
957,Florida International,09/13/2014,3,,Pittsburgh,L
958,Fresno State,09/13/2014,3,,Nebraska,L
959,Georgia,09/13/2014,2,@,South Carolina,L
960,Georgia Southern,09/13/2014,3,@,Georgia Tech,L
961,Georgia State,09/13/2014,3,,Air Force,L
962,Georgia Tech,09/13/2014,3,,Georgia Southern,W
963,Hawaii,09/13/2014,3,,Northern Iowa,W
964,Idaho,09/13/2014,3,,Western Michigan,L
965,Illinois,09/13/2014,3,@,Washington,L
966,Indiana,09/13/2014,2,@,Bowling Green State,L
967,Iowa,09/13/2014,3,,Iowa State,L
968,Iowa State,09/13/2014,3,@,Iowa,W
969,Kansas,09/13/2014,2,@,Duke,L
970,Kent State,09/13/2014,3,@,Ohio State,L
971,Kentucky,09/13/2014,3,@,Florida,L
972,Louisiana State,09/13/2014,3,,Louisiana-Monroe,W
973,Louisiana-Lafayette,09/13/2014,3,@,Mississippi,L
974,Louisiana-Monroe,09/13/2014,3,@,Louisiana State,L
975,Louisville,09/13/2014,3,@,Virginia,L
976,Marshall,09/13/2014,3,,Ohio,W
977,Maryland,09/13/2014,3,,West Virginia,L
978,Massachusetts,09/13/2014,3,@,Vanderbilt,L
979,Miami (FL),09/13/2014,3,,Arkansas State,W
980,Miami (OH),09/13/2014,3,@,Michigan,L
981,Michigan,09/13/2014,3,,Miami (OH),W
982,Middle Tennessee State,09/13/2014,3,,Western Kentucky,W
983,Minnesota,09/13/2014,3,@,Texas Christian,L
984,Mississippi,09/13/2014,3,,Louisiana-Lafayette,W
985,Mississippi State,09/13/2014,3,@,South Alabama,W
986,Missouri,09/13/2014,3,,Central Florida,W
987,Navy,09/13/2014,3,@,Texas State,W
988,Nebraska,09/13/2014,3,@,Fresno State,W
989,Nevada,09/13/2014,3,@,Arizona,L
990,Nevada-Las Vegas,09/13/2014,3,,Northern Illinois,L
991,New Mexico State,09/13/2014,3,@,Texas-El Paso,L
992,North Carolina State,09/13/2014,3,@,South Florida,W
993,Northern Illinois,09/13/2014,3,@,Nevada-Las Vegas,W
994,Notre Dame,09/13/2014,3,N,Purdue,W
995,Ohio,09/13/2014,3,@,Marshall,L
996,Ohio State,09/13/2014,3,,Kent State,W
997,Oklahoma,09/13/2014,3,,Tennessee,W
998,Oklahoma State,09/13/2014,3,,Texas-San Antonio,W
999,Old Dominion,09/13/2014,3,,Eastern Michigan,W
1000,Oregon,09/13/2014,3,,Wyoming,W
1001,Penn State,09/13/2014,3,@,Rutgers,W
1002,Pittsburgh,09/13/2014,3,@,Florida International,W
1003,Purdue,09/13/2014,3,N,Notre Dame,L
1004,Rice,09/13/2014,2,@,Texas A&M,L
1005,Rutgers,09/13/2014,3,,Penn State,L
1006,South Alabama,09/13/2014,2,,Mississippi State,L
1007,South Carolina,09/13/2014,3,,Georgia,W
1008,South Florida,09/13/2014,3,,North Carolina State,L
1009,Southern California,09/13/2014,3,@,Boston College,L
1010,Southern Mississippi,09/13/2014,3,@,Alabama,L
1011,Stanford,09/13/2014,3,,Army,W
1012,Syracuse,09/13/2014,2,@,Central Michigan,W
1013,Tennessee,09/13/2014,3,@,Oklahoma,L
1014,Texas,09/13/2014,3,N,UCLA,L
1015,Texas A&M,09/13/2014,3,,Rice,W
1016,Texas Christian,09/13/2014,2,,Minnesota,W
1017,Texas State,09/13/2014,2,,Navy,L
1018,Texas Tech,09/13/2014,3,,Arkansas,L
1019,Texas-El Paso,09/13/2014,3,,New Mexico State,W
1020,Texas-San Antonio,09/13/2014,3,@,Oklahoma State,L
1021,Troy,09/13/2014,3,,Abilene Christian,L
1022,Tulane,09/13/2014,3,,Southeastern Louisiana,W
1023,Tulsa,09/13/2014,3,@,Florida Atlantic,L
1024,UCLA,09/13/2014,3,N,Texas,W
1025,Utah State,09/13/2014,3,,Wake Forest,W
1026,Vanderbilt,09/13/2014,3,,Massachusetts,W
1027,Virginia,09/13/2014,3,,Louisville,W
1028,Virginia Tech,09/13/2014,3,,East Carolina,L
1029,Wake Forest,09/13/2014,3,@,Utah State,L
1030,Washington,09/13/2014,3,,Illinois,W
1031,Washington State,09/13/2014,3,,Portland State,W
1032,West Virginia,09/13/2014,3,@,Maryland,W
1033,Western Kentucky,09/13/2014,3,@,Middle Tennessee State,L
1034,Western Michigan,09/13/2014,2,@,Idaho,W
1035,Wyoming,09/13/2014,3,@,Oregon,L
1036,Baylor,09/12/2014,3,@,Buffalo,W
1037,Buffalo,09/12/2014,3,,Baylor,L
1038,Cincinnati,09/12/2014,1,,Toledo,W
1039,Toledo,09/12/2014,3,@,Cincinnati,L
1040,Brigham Young,09/11/2014,3,,Houston,W
1041,Houston,09/11/2014,3,@,Brigham Young,L
1042,Louisiana Tech,09/11/2014,3,@,North Texas,W
1043,North Texas,09/11/2014,3,,Louisiana Tech,L
1044,Air Force,09/06/2014,2,@,Wyoming,L
1045,Akron,09/06/2014,2,@,Penn State,L
1046,Alabama,09/06/2014,2,,Florida Atlantic,W
1047,Alabama-Birmingham,09/06/2014,2,@,Mississippi State,L
1048,Arizona State,09/06/2014,2,@,New Mexico,W
1049,Arkansas,09/06/2014,2,,Nicholls State,W
1050,Arkansas State,09/06/2014,2,@,Tennessee,L
1051,Army,09/06/2014,1,,Buffalo,W
1052,Auburn,09/06/2014,2,,San Jose State,W
1053,Ball State,09/06/2014,2,@,Iowa,L
1054,Baylor,09/06/2014,2,,Northwestern State,W
1055,Boise State,09/06/2014,2,,Colorado State,W
1056,Bowling Green State,09/06/2014,2,,Virginia Military Institute,W
1057,Brigham Young,09/06/2014,2,@,Texas,W
1058,Buffalo,09/06/2014,2,@,Army,L
1059,California,09/06/2014,2,,Sacramento State,W
1060,Central Michigan,09/06/2014,2,@,Purdue,W
1061,Clemson,09/06/2014,2,,South Carolina State,W
1062,Colorado,09/06/2014,2,N,Massachusetts,W
1063,Colorado State,09/06/2014,2,@,Boise State,L
1064,Connecticut,09/06/2014,2,,Stony Brook,W
1065,Duke,09/06/2014,2,@,Troy,W
1066,East Carolina,09/06/2014,2,@,South Carolina,L
1067,Eastern Michigan,09/06/2014,2,@,Florida,L
1068,Florida,09/06/2014,2,,Eastern Michigan,W
1069,Florida Atlantic,09/06/2014,2,@,Alabama,L
1070,Florida International,09/06/2014,2,,Wagner,W
1071,Florida State,09/06/2014,2,,Citadel,W
1072,Fresno State,09/06/2014,2,@,Utah,L
1073,Georgia State,09/06/2014,2,,New Mexico State,L
1074,Georgia Tech,09/06/2014,2,@,Tulane,W
1075,Hawaii,09/06/2014,2,,Oregon State,L
1076,Houston,09/06/2014,2,,Grambling State,W
1077,Idaho,09/06/2014,2,@,Louisiana-Monroe,L
1078,Illinois,09/06/2014,2,,Western Kentucky,W
1079,Iowa,09/06/2014,2,,Ball State,W
1080,Iowa State,09/06/2014,2,,Kansas State,L
1081,Kansas,09/06/2014,1,,Southeast Missouri State,W
1082,Kansas State,09/06/2014,2,@,Iowa State,W
1083,Kent State,09/06/2014,2,,South Alabama,L
1084,Kentucky,09/06/2014,2,,Ohio,W
1085,Louisiana State,09/06/2014,2,,Sam Houston State,W
1086,Louisiana Tech,09/06/2014,2,@,Louisiana-Lafayette,W
1087,Louisiana-Lafayette,09/06/2014,2,,Louisiana Tech,L
1088,Louisiana-Monroe,09/06/2014,2,,Idaho,W
1089,Louisville,09/06/2014,2,,Murray State,W
1090,Marshall,09/06/2014,2,,Rhode Island,W
1091,Maryland,09/06/2014,2,@,South Florida,W
1092,Massachusetts,09/06/2014,2,N,Colorado,L
1093,Memphis,09/06/2014,2,@,UCLA,L
1094,Miami (FL),09/06/2014,2,,Florida A&M,W
1095,Miami (OH),09/06/2014,2,,Eastern Kentucky,L
1096,Michigan,09/06/2014,2,@,Notre Dame,L
1097,Michigan State,09/06/2014,2,@,Oregon,L
1098,Middle Tennessee State,09/06/2014,2,@,Minnesota,L
1099,Minnesota,09/06/2014,2,,Middle Tennessee State,W
1100,Mississippi,09/06/2014,2,N,Vanderbilt,W
1101,Mississippi State,09/06/2014,2,,Alabama-Birmingham,W
1102,Missouri,09/06/2014,2,@,Toledo,W
1103,Navy,09/06/2014,2,@,Temple,W
1104,Nebraska,09/06/2014,2,,McNeese State,W
1105,Nevada-Las Vegas,09/06/2014,2,,Northern Colorado,W
1106,New Mexico,09/06/2014,2,,Arizona State,L
1107,New Mexico State,09/06/2014,2,@,Georgia State,W
1108,North Carolina,09/06/2014,2,,San Diego State,W
1109,North Carolina State,09/06/2014,2,,Old Dominion,W
1110,North Texas,09/06/2014,2,,Southern Methodist,W
1111,Northern Illinois,09/06/2014,2,@,Northwestern,W
1112,Northwestern,09/06/2014,2,,Northern Illinois,L
1113,Notre Dame,09/06/2014,2,,Michigan,W
1114,Ohio,09/06/2014,2,@,Kentucky,L
1115,Ohio State,09/06/2014,2,,Virginia Tech,L
1116,Oklahoma,09/06/2014,2,@,Tulsa,W
1117,Oklahoma State,09/06/2014,2,,Missouri State,W
1118,Old Dominion,09/06/2014,2,@,North Carolina State,L
1119,Oregon,09/06/2014,2,,Michigan State,W
1120,Oregon State,09/06/2014,2,@,Hawaii,W
1121,Penn State,09/06/2014,2,,Akron,W
1122,Purdue,09/06/2014,2,,Central Michigan,L
1123,Rutgers,09/06/2014,2,,Howard,W
1124,San Diego State,09/06/2014,2,@,North Carolina,L
1125,San Jose State,09/06/2014,2,@,Auburn,L
1126,South Alabama,09/06/2014,1,@,Kent State,W
1127,South Carolina,09/06/2014,2,,East Carolina,W
1128,South Florida,09/06/2014,2,,Maryland,L
1129,Southern California,09/06/2014,2,@,Stanford,W
1130,Southern Methodist,09/06/2014,2,@,North Texas,L
1131,Southern Mississippi,09/06/2014,2,,Alcorn State,W
1132,Stanford,09/06/2014,2,,Southern California,L
1133,Temple,09/06/2014,2,,Navy,L
1134,Tennessee,09/06/2014,2,,Arkansas State,W
1135,Texas,09/06/2014,2,,Brigham Young,L
1136,Texas A&M,09/06/2014,2,,Lamar,W
1137,Texas Tech,09/06/2014,2,@,Texas-El Paso,W
1138,Texas-El Paso,09/06/2014,2,,Texas Tech,L
1139,Toledo,09/06/2014,2,,Missouri,L
1140,Troy,09/06/2014,2,,Duke,L
1141,Tulane,09/06/2014,2,,Georgia Tech,L
1142,Tulsa,09/06/2014,2,,Oklahoma,L
1143,UCLA,09/06/2014,2,,Memphis,W
1144,Utah,09/06/2014,2,,Fresno State,W
1145,Utah State,09/06/2014,2,,Idaho State,W
1146,Vanderbilt,09/06/2014,2,N,Mississippi,L
1147,Virginia,09/06/2014,2,,Richmond,W
1148,Virginia Tech,09/06/2014,2,@,Ohio State,W
1149,Wake Forest,09/06/2014,2,,Gardner-Webb,W
1150,Washington,09/06/2014,2,,Eastern Washington,W
1151,West Virginia,09/06/2014,2,,Towson,W
1152,Western Kentucky,09/06/2014,2,@,Illinois,L
1153,Wisconsin,09/06/2014,2,,Western Illinois,W
1154,Wyoming,09/06/2014,2,,Air Force,W
1155,Boston College,09/05/2014,2,,Pittsburgh,L
1156,Nevada,09/05/2014,2,,Washington State,W
1157,Pittsburgh,09/05/2014,2,@,Boston College,W
1158,Washington State,09/05/2014,2,@,Nevada,L
1159,Arizona,09/04/2014,2,@,Texas-San Antonio,W
1160,Texas-San Antonio,09/04/2014,2,,Arizona,L
1161,Louisville,09/01/2014,1,,Miami (FL),W
1162,Miami (FL),09/01/2014,1,@,Louisville,L
1163,Baylor,08/31/2014,1,,Southern Methodist,W
1164,Southern Methodist,08/31/2014,1,@,Baylor,L
1165,Tennessee,08/31/2014,1,,Utah State,W
1166,Utah State,08/31/2014,1,@,Tennessee,L
1167,Air Force,08/30/2014,1,,Nicholls State,W
1168,Alabama,08/30/2014,1,N,West Virginia,W
1169,Alabama-Birmingham,08/30/2014,1,,Troy,W
1170,Appalachian State,08/30/2014,1,@,Michigan,L
1171,Arkansas,08/30/2014,1,@,Auburn,L
1172,Arkansas State,08/30/2014,1,,Montana State,W
1173,Auburn,08/30/2014,1,,Arkansas,W
1174,Ball State,08/30/2014,1,,Colgate,W
1175,Boston College,08/30/2014,1,N,Massachusetts,W
1176,Buffalo,08/30/2014,1,,Duquesne,W
1177,California,08/30/2014,1,@,Northwestern,W
1178,Central Florida,08/30/2014,1,N,Penn State,L
1179,Clemson,08/30/2014,1,@,Georgia,L
1180,Duke,08/30/2014,1,,Elon,W
1181,East Carolina,08/30/2014,1,,North Carolina Central,W
1182,Eastern Michigan,08/30/2014,1,,Morgan State,W
1183,Florida Atlantic,08/30/2014,1,@,Nebraska,L
1184,Florida International,08/30/2014,1,,Bethune-Cookman,L
1185,Florida State,08/30/2014,1,N,Oklahoma State,W
1186,Fresno State,08/30/2014,1,@,Southern California,L
1187,Georgia,08/30/2014,1,,Clemson,W
1188,Georgia Southern,08/30/2014,1,@,North Carolina State,L
1189,Georgia Tech,08/30/2014,1,,Wofford,W
1190,Hawaii,08/30/2014,1,,Washington,L
1191,Illinois,08/30/2014,1,,Youngstown State,W
1192,Indiana,08/30/2014,1,,Indiana State,W
1193,Iowa,08/30/2014,1,,Northern Iowa,W
1194,Iowa State,08/30/2014,1,,North Dakota State,L
1195,Kansas State,08/30/2014,1,,Stephen F. Austin,W
1196,Kent State,08/30/2014,1,,Ohio,L
1197,Kentucky,08/30/2014,1,,Tennessee-Martin,W
1198,Louisiana State,08/30/2014,1,N,Wisconsin,W
1199,Louisiana Tech,08/30/2014,1,@,Oklahoma,L
1200,Louisiana-Lafayette,08/30/2014,1,,Southern,W
1201,Marshall,08/30/2014,1,@,Miami (OH),W
1202,Maryland,08/30/2014,1,,James Madison,W
1203,Massachusetts,08/30/2014,1,N,Boston College,L
1204,Memphis,08/30/2014,1,,Austin Peay,W
1205,Miami (OH),08/30/2014,1,,Marshall,L
1206,Michigan,08/30/2014,1,,Appalachian State,W
1207,Middle Tennessee State,08/30/2014,1,,Savannah State,W
1208,Mississippi State,08/30/2014,1,,Southern Mississippi,W
1209,Missouri,08/30/2014,1,,South Dakota State,W
1210,Navy,08/30/2014,1,N,Ohio State,L
1211,Nebraska,08/30/2014,1,,Florida Atlantic,W
1212,Nevada,08/30/2014,1,,Southern Utah,W
1213,New Mexico,08/30/2014,1,,Texas-El Paso,L
1214,North Carolina,08/30/2014,1,,Liberty,W
1215,North Carolina State,08/30/2014,1,,Georgia Southern,W
1216,North Texas,08/30/2014,1,@,Texas,L
1217,Northwestern,08/30/2014,1,,California,L
1218,Notre Dame,08/30/2014,1,,Rice,W
1219,Ohio,08/30/2014,1,@,Kent State,W
1220,Ohio State,08/30/2014,1,N,Navy,W
1221,Oklahoma,08/30/2014,1,,Louisiana Tech,W
1222,Oklahoma State,08/30/2014,1,N,Florida State,L
1223,Oregon,08/30/2014,1,,South Dakota,W
1224,Oregon State,08/30/2014,1,,Portland State,W
1225,Penn State,08/30/2014,1,N,Central Florida,W
1226,Pittsburgh,08/30/2014,1,,Delaware,W
1227,Purdue,08/30/2014,1,,Western Michigan,W
1228,Rice,08/30/2014,1,@,Notre Dame,L
1229,San Diego State,08/30/2014,1,,Northern Arizona,W
1230,South Florida,08/30/2014,1,,Western Carolina,W
1231,Southern California,08/30/2014,1,,Fresno State,W
1232,Southern Mississippi,08/30/2014,1,@,Mississippi State,L
1233,Stanford,08/30/2014,1,,California-Davis,W
1234,Texas,08/30/2014,1,,North Texas,W
1235,Texas Christian,08/30/2014,1,,Samford,W
1236,Texas State,08/30/2014,1,,Arkansas-Pine Bluff,W
1237,Texas Tech,08/30/2014,1,,Central Arkansas,W
1238,Texas-El Paso,08/30/2014,1,@,New Mexico,W
1239,Toledo,08/30/2014,1,,New Hampshire,W
1240,Troy,08/30/2014,1,@,Alabama-Birmingham,L
1241,UCLA,08/30/2014,1,@,Virginia,W
1242,Virginia,08/30/2014,1,,UCLA,L
1243,Virginia Tech,08/30/2014,1,,William & Mary,W
1244,Washington,08/30/2014,1,@,Hawaii,W
1245,West Virginia,08/30/2014,1,N,Alabama,L
1246,Western Michigan,08/30/2014,1,@,Purdue,L
1247,Wisconsin,08/30/2014,1,N,Louisiana State,L
1248,Wyoming,08/30/2014,1,,Montana,W
1249,Arizona,08/29/2014,1,,Nevada-Las Vegas,W
1250,Bowling Green State,08/29/2014,1,@,Western Kentucky,L
1251,Brigham Young,08/29/2014,1,@,Connecticut,W
1252,Colorado,08/29/2014,1,N,Colorado State,L
1253,Colorado State,08/29/2014,1,N,Colorado,W
1254,Connecticut,08/29/2014,1,,Brigham Young,L
1255,Houston,08/29/2014,1,,Texas-San Antonio,L
1256,Michigan State,08/29/2014,1,,Jacksonville State,W
1257,Nevada-Las Vegas,08/29/2014,1,@,Arizona,L
1258,Syracuse,08/29/2014,1,,Villanova,W
1259,Texas-San Antonio,08/29/2014,1,@,Houston,W
1260,Western Kentucky,08/29/2014,1,,Bowling Green State,W
1261,Akron,08/28/2014,1,,Howard,W
1262,Arizona State,08/28/2014,1,,Weber State,W
1263,Boise State,08/28/2014,1,N,Mississippi,L
1264,Central Michigan,08/28/2014,1,,Chattanooga,W
1265,Louisiana-Monroe,08/28/2014,1,,Wake Forest,W
1266,Minnesota,08/28/2014,1,,Eastern Illinois,W
1267,Mississippi,08/28/2014,1,N,Boise State,W
1268,New Mexico State,08/28/2014,1,,Cal Poly,W
1269,Northern Illinois,08/28/2014,1,,Presbyterian,W
1270,Rutgers,08/28/2014,1,N,Washington State,W
1271,San Jose State,08/28/2014,1,,North Dakota,W
1272,South Carolina,08/28/2014,1,,Texas A&M,L
1273,Temple,08/28/2014,1,@,Vanderbilt,W
1274,Texas A&M,08/28/2014,1,@,South Carolina,W
1275,Tulane,08/28/2014,1,@,Tulsa,L
1276,Tulsa,08/28/2014,1,,Tulane,W
1277,Utah,08/28/2014,1,,Idaho State,W
1278,Vanderbilt,08/28/2014,1,,Temple,L
1279,Wake Forest,08/28/2014,1,@,Louisiana-Monroe,L
1280,Washington State,08/28/2014,1,N,Rutgers,L
1281,Georgia State,08/27/2014,1,,Abilene Christian,W
